"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45015","Berkeley, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2726,3048,3347,3666,4066,4634,4905,5264,5766,6221,6872,7475,8153,8687,9429,10117,10551,11192,11752,12639,13755,14664,14864,15170,15368,15411,15704,16085,17202,18238,19186,20906,21631,22669,23515,24449,25922,27637,28962,29753,28067,29431,31416,31804,31916,33453,34916,35667
"45017","Calhoun, SC","5","CA1","1","...","Personal income (thousands of dollars)",25874,28804,32243,35789,42700,55312,60417,68443,64243,69993,82236,82392,95228,102987,105460,122959,130324,135769,148325,159450,173679,180775,190646,201087,206732,226232,240112,256035,278209,300975,313794,341817,358661,351571,374780,392121,410832,420077,438406,450089,450925,447200,468921,481995,487891,484437,506809,524299
"45017","Calhoun, SC","5","CA1","2","...","Population (persons) 1/",10198,10760,10760,10450,10621,10737,11416,11811,11862,11870,12005,12087,11574,11852,11766,11970,12169,12213,12106,12271,12633,12792,13003,13257,13462,13677,13824,14028,14387,14738,14961,15192,15301,15257,15309,15247,15212,15229,15260,15175,15268,15107,15166,14915,15053,14862,14802,14796
"45017","Calhoun, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2537,2677,2997,3425,4020,5152,5292,5795,5416,5897,6850,6817,8228,8689,8963,10272,10710,11117,12252,12994,13748,14132,14662,15168,15357,16541,17369,18252,19338,20422,20974,22500,23440,23043,24481,25718,27007,27584,28729,29660,29534,29602,30919,32316,32412,32596,34239,35435
"45019","Charleston, SC","5","CA1","1","...","Personal income (thousands of dollars)",877841,995134,1059065,1147817,1249151,1448067,1621733,1761514,1857935,2085383,2294039,2562041,2903566,3117127,3310728,3604549,3818012,4056723,4283700,4570238,4914922,5343393,5569695,5896246,6143147,6309299,6522268,6953626,7417057,8126955,8593651,9251029,9320563,9634073,9965623,10860677,11878069,12938629,13962087,14058623,13492494,14443311,15759512,17918930,17329505,18916263,20304174,21121645
"45019","Charleston, SC","5","CA1","2","...","Population (persons) 1/",247753,247546,251403,256385,259300,270561,271504,276331,275804,277852,278662,278197,283850,285827,288565,287130,283942,290227,292172,289588,294737,295631,304651,308223,306653,302806,300950,299718,305243,307174,309247,310749,313065,317379,321222,328105,331589,334826,337147,341921,346795,351055,357545,365097,372214,380280,389291,396484
"45019","Charleston, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",3543,4020,4213,4477,4817,5352,5973,6375,6736,7505,8232,9209,10229,10906,11473,12554,13446,13978,14662,15782,16676,18075,18282,19130,20033,20836,21672,23201,24299,26457,27789,29770,29772,30355,31024,33101,35822,38643,41412,41117,38906,41143,44077,49080,46558,49743,52157,53272
"45021","Cherokee, SC","5","CA1","1","...","Personal income (thousands of dollars)",96415,105517,117968,134585,155796,166219,178703,202829,226090,255686,290830,315748,341389,349175,380461,425720,448880,475920,514202,557465,586921,608624,624539,666900,707437,760324,801580,836436,892275,963756,1010394,1085992,1109056,1102724,1137064,1207695,1238253,1277429,1378260,1487805,1482527,1493563,1532921,1507531,1527228,1582532,1664557,1700836
"45021","Cherokee, SC","5","CA1","2","...","Population (persons) 1/",36493,36957,37670,38231,38431,38944,39317,39219,40212,40418,41229,41068,41277,41368,41455,41709,42212,42568,43296,43985,44187,44657,45383,46030,46672,47477,48216,49185,50070,50894,51956,52649,53020,53407,53437,53642,53772,54166,54467,54981,55149,55532,55716,55860,56055,56314,56493,56646
"45021","Cherokee, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2642,2855,3132,3520,4054,4268,4545,5172,5622,6326,7054,7688,8271,8441,9178,10207,10634,11180,11876,12674,13283,13629,13762,14488,15158,16015,16625,17006,17821,18937,19447,20627,20918,20648,21279,22514,23028,23584,25304,27060,26882,26896,27513,26988,27245,28102,29465,30026
